source,point_id,suction_amp_kpa,cyclic_amp,marker_label,predicted_class,external_expected_class,classification_match,placement_note
Kinikles et al. 2024 Figure 12(a),KIN-HMAI-0.00,0.0,0.2,K,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Kinikles et al. 2024 Figure 12(a),KIN-HMAI-0.12,12.0,0.2,K,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Kinikles et al. 2024 Figure 12(a),KIN-HMAI-0.20,20.0,0.2,K,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Kinikles et al. 2024 Figure 12(a),KIN-HMAI-0.30,30.0,0.2,K,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Kinikles et al. 2024 Figure 12(a),KIN-HMAI-0.40,40.0,0.2,K,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Kinikles et al. 2024 Figure 12(a),KIN-HMAI-0.56,56.00000000000001,0.2,K,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Rong/McCartney PEER 2022/05 200-cycle figure gate,RONG-HMAI-0.000,0.0,0.2,R,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Rong/McCartney PEER 2022/05 200-cycle figure gate,RONG-HMAI-0.117,11.700000000000001,0.2,R,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Rong/McCartney PEER 2022/05 200-cycle figure gate,RONG-HMAI-0.206,20.599999999999998,0.2,R,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Rong/McCartney PEER 2022/05 200-cycle figure gate,RONG-HMAI-0.300,30.0,0.2,R,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Rong/McCartney PEER 2022/05 200-cycle figure gate,RONG-HMAI-0.400,40.0,0.2,R,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
Rong/McCartney PEER 2022/05 200-cycle figure gate,RONG-HMAI-0.560,56.00000000000001,0.2,R,dominant,dominant,True,External points are placed on the nearest diagnostic benchmark coordinate for visual context; quantitative validation is reported in CSV metrics.
